"","crime_day","temp","wdsp","NUM_CRIMES"
"66",5,27.9,12.1,0.554973821989529
"67",6,31.9,16.5,0.361256544502618
"68",7,27.8,10.1,0.198952879581152
"69",1,45.5,23.8,0.704188481675393
"70",2,43.4,11.4,0.400523560209424
"71",3,28.1,26.2,0.298429319371728
"72",4,23.2,15.8,0.447643979057592
"73",5,42.4,26.9,0.735602094240838
"74",6,35.5,15.8,0.782722513089005
"75",7,22.5,23.1,0.240837696335079
"76",1,22.7,14.3,0.413612565445026
"77",2,33.6,13.9,0.712041884816754
"78",3,40.8,14.9,0.565445026178011
"79",4,34.7,13.4,0.620418848167539
"80",5,34.9,10.7,0.670157068062827
"81",6,40.8,15.8,0.505235602094241
"82",7,25,15.3,0.269633507853403
"83",1,24.2,7.6,0.397905759162304
"84",2,27.1,16,0.408376963350785
"85",3,25.2,11.3,0.468586387434555
"86",4,38.2,26.2,0.452879581151832
"87",5,41.8,20.7,0.628272251308901
"88",6,32.4,15.2,0.589005235602094
"89",7,35.2,9.2,0.5
"90",1,48.7,18.6,0.5
"91",2,44.7,25.1,1
"92",3,38.3,14.2,0.468586387434555
"93",4,35.5,17.2,0.445026178010471
"94",5,38.5,19,0.693717277486911
"95",6,36,14,0.539267015706806
"96",7,41.2,12,0.426701570680628
"97",1,39.3,7.9,0.565445026178011
"98",2,44,8.2,0.534031413612565
"99",3,43.8,6.2,0.602094240837696
"100",4,55.8,21.2,0.691099476439791
"101",5,50.3,7,0.630890052356021
"102",6,61.7,17.6,0.853403141361257
"103",7,65.7,22.8,0.350785340314136
"104",1,41.6,24,0.37434554973822
"105",2,29.1,16.5,0.536649214659686
"106",3,37.3,15.8,0.591623036649215
"107",4,47.8,18.8,0.759162303664921
"108",5,42.7,11.6,0.630890052356021
"109",6,39,10.8,0.549738219895288
"110",7,51.7,13,0.37696335078534
"111",1,63.3,13.6,0.484293193717277
"112",2,48.6,14,0.5
"113",3,37.8,11.4,0.50261780104712
"114",4,43.7,13.6,0.583769633507853
"115",5,50.9,12.6,0.790575916230366
"116",6,49.2,14.3,0.609947643979058
"117",7,41.8,18.6,0.332460732984293
"118",1,45.9,15.1,0.468586387434555
"119",2,48.1,9.6,0.633507853403141
"120",3,51.2,12,0.662303664921466
"121",4,45.8,17.5,0.890052356020942
"122",5,48,14.3,0.835078534031414
"123",6,54,19.8,0.523560209424084
"124",7,52.5,13.5,0.458115183246073
"125",1,43.5,16,0.785340314136126
"126",2,43.8,15.7,0.732984293193717
"127",3,51,14.8,0.586387434554974
"128",4,65.8,13.3,0.581151832460733
"129",5,69,22.1,0.832460732984293
"130",6,60.4,9.9,0.709424083769634
"131",7,62,11.7,0.518324607329843
"132",1,67.2,16.6,0.698952879581152
"133",2,64,15.9,0.698952879581152
"134",3,50.8,13,0.641361256544503
"135",4,43.3,22.2,0.541884816753927
"136",5,39.2,10.6,0.777486910994764
