"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","wdsp","NUM_CRIMES"
"52",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,8.1,19.6,0.303664921465969
"53",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,10.9,21.1,0.175392670157068
"54",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,12.7,13.1,0.405759162303665
"55",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2014,24.5,14.5,0.5
"56",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2014,10.7,18.3,0.0130890052356021
"57",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2014,8.2,12.2,0.12303664921466
"58",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2014,15.5,8.3,0.214659685863874
"59",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2014,20.2,11.6,0.238219895287958
"60",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2014,18.6,10.6,0.303664921465969
"61",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2014,27.9,12.1,0.554973821989529
"62",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2014,31.9,16.5,0.361256544502618
"63",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2014,27.8,10.1,0.198952879581152
"64",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2014,45.5,23.8,0.704188481675393
"65",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2014,43.4,11.4,0.400523560209424
"66",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2014,28.1,26.2,0.298429319371728
"67",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2014,23.2,15.8,0.447643979057592
"68",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2014,42.4,26.9,0.735602094240838
"69",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2014,35.5,15.8,0.782722513089005
"70",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2014,22.5,23.1,0.240837696335079
